discoverymethod,semimajoraxis,radius,mass,density,eccentricity,inclination,ttv,depth
Transit,,1,,,,,0,
Transit,,1,,,,,0,
Transit,,1,,,,,0,
Transit,,1,,,,,0,
Transit,,1,,,,,0,
Transit,0.071,1,,,,,0,
Transit,,1,,,,,0,
Transit,,1,,,,,0,
Transit,,1,,,,,0,
Transit,,1,,,,,0,
Transit,0.059,1,,,,,0,
Transit,,1,7.2,,,,0,
Transit,,1.001,,,,,0,
Transit,,1.003,,,,,0,
Transit,0.1396,1.003,,,,88.788,0,
Transit,,1.005,,,,,0,
Transit,,1.005,,,,,0,
Transit,,1.007,,,,,0,
Transit,,1.009,3.3,,,,0,
Transit,,1.01,,,,,0,
Transit,0.04951,1.01,,,,,0,
Transit,0.05,1.01,,,0.11,89.26,0,
Transit,0.01263,1.01,,,,,0,
Transit,,1.01,,,,,0,
Transit,,1.01,,,,,0,
Transit,,1.01,,,,,0,
Transit,,1.01,,,,,0,
Transit,0.082,1.01,,,,,0,
Transit,0.03341,1.01,,,,,0,
Transit,0.027,1.01,,,,,0,
Transit,0.087,1.01,,,,,0,
Transit,,1.01,,,,,0,
Transit,0.0637,1.01,,,0.032,89.67,0,
Transit,,1.011,,,,,0,
Transit,,1.015,,,,,0,
Transit,,1.017,,,,89.15,0,
Transit,0.0328,1.02,,,,,0,
Transit,,1.02,6.8,,,,0,
Transit,,1.02,,,,,0,
Transit,0.079,1.02,,,,,1,
Transit,,1.02,,,,,0,
Transit,,1.02,,,,,0,
Transit,,1.02,,,,,0,
Transit,0.06,1.02,,,,,0,
Transit,,1.02,,,,,0,
Transit,0.033,1.02,,,,,0,
Transit,,1.021,,,,,0,
Transit,,1.021,,,,,0,
Transit,,1.027,,,,,0,
Transit,,1.029,,,,,0,
Transit,,1.03,,,,,0,
Transit,,1.03,,,,,0,
Transit,,1.03,,,,,0,
Transit,,1.03,,,,,0,
Transit,,1.03,,,,,1,
Transit,,1.03,,,,,0,
Transit,,1.03,,,,,0,
Transit,,1.03,,,,,0,
Transit,0.047,1.03,,,,,0,
Transit,0.029,1.03,,,,,0,
Transit,0.068,1.03,,,,,0,
Transit,0.061,1.03,,,,,0,
Transit,,1.03,,,,,0,
Transit,,1.03,,,,,0,
Transit,,1.032,,,,,1,
Transit,,1.033,,,,,0,
Transit,,1.037,,,,,0,
Transit,,1.038,,,,,0,
Transit,,1.039,,,,,0,
Transit,0.035,1.04,,,,89.001,0,
Transit,0.057,1.04,,,0.13,89.21,0,
Transit,,1.04,,,,,0,
Transit,,1.04,,,,,0,
Transit,,1.04,,,,,0,
Transit,,1.04,,,,,0,
Transit,,1.04,,,,,0,
Transit,,1.04,,,,,0,
Transit,0.03205,1.04,,,,,0,
Transit,,1.041,,,,,0,
Transit,,1.042,,,,,0,
Transit,,1.045,,,,,0,
Transit,,1.045,,,,,0,
Transit,0.038534,1.046,0.934,4.5,0.01007,,1,
Transit,0.0349,1.047,,,0,89.002,0,
Transit,,1.047,,,,,0,
Transit,,1.047,,,,,0,
Transit,,1.049,,,,,0,
Transit,,1.05,,,0.72,89.2,0,
Transit,,1.05,,,,,0,
Transit,,1.05,,,,,0,
Transit,0.078,1.05,,,,,0,
Transit,,1.05,,,,,0,
Transit,,1.05,,,,,0,
Transit,,1.05,,,,,0,
Transit,,1.05,,,,,0,
Transit,,1.054,,,,,0,
Transit,,1.054,,,,,0,
Transit,,1.055,,,,76.711,0,
Transit,,1.056,,,,,0,
Transit,,1.058,,,,,0,
Transit,,1.059,,,,,0,
Transit,,1.06,,,,,0,
Transit,,1.06,,,,,0,
Transit,,1.06,,,,,0,
Transit,,1.06,,,,,0,
Transit,,1.06,,,,,0,
Transit,,1.06,,,,,0,
Transit,,1.06,,,,89.339,0,
Transit,,1.06,,,,,0,
Transit,,1.06,,,,,0,
Transit,0.027,1.06,,,,,0,
Transit,,1.06,,,,,0,
Transit,,1.06,,,,,0,
Transit,,1.061,,,,,0,
Transit,,1.061,,,,,0,
Transit,,1.061,,,,,0,
Transit,,1.062,,,,87.624,0,
Transit,,1.062,,,,,0,
Transit,,1.064,,,0.14,,0,
Transit,,1.064,,,0.02,,0,
Transit,,1.065,,,,,0,
Transit,,1.067,,,,,0,
Transit,,1.067,,,,,0,
Transit,,1.067,,,,,0,
Transit,,1.067,,,,,0,
Transit,,1.068,,,,,0,
Transit,0.082,1.07,,,,,0,
Transit,,1.07,,,,,0,
Transit,,1.07,,,,,0,
Transit,,1.07,,,,,0,
Transit,,1.07,,,,,0,
Transit,0.0343,1.07,,,,,0,
Transit,0.039,1.07,,,,,0,
Transit,,1.07,,,,,0,
Transit,,1.07,,,,,0,
Transit,,1.07,,,,,0,
Transit,,1.07,,,,,0,
Transit,0.057,1.07,,,,,0,
Transit,,1.07,3.2,,,,0,
Transit,,1.07,,,,,0,
Transit,,1.07,,,,,0,
Transit,,1.072,,,,,0,
Transit,,1.073,,,,,0,
Transit,,1.074,,,,,0,
Transit,,1.074,,,,,0,
Transit,,1.075,,,,,0,
Transit,,1.075,,,,,0,
Transit,,1.075,,,,,0,
Transit,,1.075,,,,,0,
Transit,,1.076,,,,,0,
Transit,0.0306,1.08,,,,,0,
Transit,0.04,1.08,,,0.11,89.15,0,
Transit,0.017,1.08,,,0.15,85.77,0,
Transit,,1.08,,,,,0,
Transit,,1.08,,,,,0,
Transit,,1.08,,,,,0,
Transit,,1.08,,,,,0,
Transit,,1.08,,,,,0,
Transit,,1.081,,,,,0,
Transit,,1.083,,,,88.863,0,
Transit,,1.088,,,,,0,
Transit,0.0404,1.088,8.7,,0,88.125,0,
Transit,,1.089,,,,,0,
Transit,,1.089,,,,,0,
Transit,,1.089,,,,,0,
Transit,0.0252,1.09,1.75,7.3,0,88.442,0,
Transit,,1.09,,,,,0,
Transit,0.036,1.09,,,,,0,
Transit,,1.09,,,,,0,
Transit,,1.09,,,,,0,
Transit,,1.09,,,,,0,
