discoverymethod,semimajoraxis,radius,mass,density,eccentricity,inclination,ttv,depth
Transit,,13.975,,,,,0,0.3501
Transit,0.7469,7.52,,,0,89.38,1,0.352
Transit,0.7469,7.52,,,0,89.38,1,0.352
Transit,0.7469,7.52,,,0,89.38,1,0.35292
Transit,0.276,5.1,,,0,89.95,0,0.3537
Transit,,13.624,,,,,0,0.35419
Transit,0.1644,5.71,,,0,89.95,1,0.35425
Transit,0.1644,5.71,,,0,89.95,1,0.35425
Transit,0.1644,5.71,,,0,89.95,1,0.35425
Transit,,12.343,,,,,0,0.3553
Transit,,3.793,,,,,1,0.357217
Transit,0.2701,7.48,,,0,88.81,1,0.35734
Transit,0.2701,7.48,,,0,88.81,1,0.35734
Transit,0.2701,7.48,,,0,88.81,1,0.35734
Transit,0.3369,4.73,,,0,89.38,0,0.358
Transit,0.3369,4.73,,,0,89.38,0,0.358115
Transit,0.3369,4.73,,,0,89.38,0,0.35848
Transit,0.361,5.4,,,0,89.38,0,0.35848
Transit,0.264,5.3,,,0,89.95,1,0.35848
Transit,0.3577,7.59,,,0,89.4,0,0.35922
Transit,0.263,5.8,,,0,88.24,0,0.35922
Transit,0.7391,6.11,,,0,89.9,0,0.35922
Transit,,8.73,14.7,0.121,0,88.795,1,0.36
Transit,0.2632,5.51,,,0,89.84,1,0.3603
Transit,0.0385,2.025,,,0,88.57,0,0.36046
Transit,,2.061,,,,,0,0.3622
Transit,,9.952,,,,,0,0.36287
Transit,0.02144,0.772,0.41,4.9,0.07,89.75,1,0.3643
Transit,0.02227,0.788,0.388,4.36678,,89.896,1,0.36443
Transit,0.0502,7.31,,,0,88.7,0,0.365
Transit,,14.46,731.009,,0,86.8,0,0.365
Transit,,11.635,,,,,0,0.365
Transit,,18.041,,,,,0,0.367
Transit,0.2881,6.04,,,0,89.95,0,0.3676
Transit,0.2881,6.04,,,0,89.95,0,0.36807
Transit,0.2881,6.04,,,0,89.95,0,0.37
Transit,,4.79,,,,,0,0.3708
Transit,0.0813,13.44,,,0,89.61,0,0.371
Transit,0.05208,17.318,323.23311,0.343,0.038,84.51,0,0.37203
Transit,0.074,7,,,0,84.22,0,0.37203
Transit,0.0341,1.44,,,0,89.5,0,0.37203
Transit,,4.92,,,,,0,0.375
Transit,0.0535,5.39,,,0,89.81,0,0.37538
Transit,0.7391,6.43,,,0,89.95,0,0.3755
Transit,0.7391,6.43,,,0,89.95,0,0.3788
Transit,0.7391,6.43,,,0,89.95,0,0.38
Transit,0.0504,10.985,344.52772,1.5,0,88.3,0,0.3802
Transit,,10.537,,,,,0,0.38121
Transit,0.054,5.4,,,0,88.81,0,0.38157
Transit,0.0502,7.43,,,0,89.95,0,0.38157
Transit,0.0502,7.43,,,0,89.95,0,0.38157
Transit,0.0502,7.43,,,0,89.95,0,0.382
Transit,0.2648,5.14,,,0,89.95,1,0.384
Transit,0.2648,5.14,,,0,89.95,1,0.3846
Transit,0.2648,5.14,,,0,89.95,1,0.38464
Transit,,2.407,,,,,0,0.38464
Transit,0.2561,5.36,,,0,88.81,0,0.38464
Transit,0.2561,5.36,,,0,88.81,0,0.38518
Transit,0.2561,5.36,,,0,88.81,0,0.38518
Transit,,1.47,,,,,1,0.38518
Transit,0.115,11.26,,,0,87.7,0,0.385611
Transit,0.0427,6.62,,,0,89.75,0,0.38584
Transit,,2.171,,,,,0,0.38584
Transit,,4.43,,,,,0,0.38584
Transit,0.042,4.8,,,0,87.09,0,0.386
Transit,,10.836,,,,,0,0.38607
Transit,0.2681,6.11,,,0,89.38,1,0.38687
Transit,0.2681,6.11,,,0,89.38,1,0.387396
Transit,0.2681,6.11,,,0,89.38,1,0.389
Transit,0.108,7.9,,,0,87.66,0,0.3894
Transit,0.04825,3.76,,,0.22,87.47,0,0.391
Transit,0.4942,5.8,,,0,89.38,0,0.39236
Transit,0.4942,5.8,,,0,89.38,0,0.39236
Transit,0.4942,5.8,,,0,89.38,0,0.39236
Transit,,4.07,,,,,0,0.3924
Transit,0.0813,13.8,,,0,89.38,0,0.393
Transit,0.0813,13.8,,,0,89.38,0,0.39365
Transit,0.0813,13.8,,,0,89.38,0,0.39365
Transit,,6.9,,,,89.973,0,0.39365
Transit,0.0858,5.73,,,0,88.68,0,0.3954
Transit,,17.215,,,,,0,0.39555
Transit,,3.09,,,,,0,0.39555
Transit,,4.753,,,,,0,0.39555
Transit,,5.501,,,,,0,0.3969
Transit,,6.189,,,,,0,0.3977
Transit,0.5001,8.03,,,0,89.58,0,0.398806
Transit,0.0873,5.57,,,0,89.38,0,0.399
Transit,0.0873,5.57,,,0,89.38,0,0.401
Transit,0.0873,5.57,,,0,89.38,0,0.401783
Transit,0.193,4.8,,,0,89.95,0,0.402
Transit,0.5135,10.52,,,0,89.44,1,0.40206
Transit,0.0608,19.392,195.457,0.15,0,88.3,0,0.40243
Transit,0.533,8.5,,,0,89.38,1,0.40243
Transit,0.089,6.31,,,0,89.38,0,0.40243
Transit,0.5,6.8,,,0,88.81,0,0.4026
Transit,0.724,6.8,,,0,89.95,0,0.40335
Transit,,11.433,772.3269,,0,88.8,0,0.404
Transit,0.0717,12.33,883.53,2.79,0,88.8,0,0.4042
Transit,0.153,12.801,1598.35906,,0.815,89.14,0,0.4049
Transit,0.479,10.3,,,0,90,0,0.4051
Transit,0.0661,15.468,479.9233,0.773,,84.7,0,0.4073
Transit,0.5187,7.5,,,0,89.38,1,0.41
Transit,0.5187,7.5,,,0,89.38,1,0.41
Transit,0.5187,7.5,,,0,89.38,1,0.41
Transit,0.3292,6.39,,,0,89.47,1,0.4107
Transit,0.145,2.194,,,0.496,89.786,0,0.411
Transit,,11.902,,,,,0,0.41122
Transit,0.7133,7.7,,,0,90,0,0.41122
Transit,0.0406,4.55,,,0,89.95,0,0.41122
Transit,0.0406,4.55,,,0,89.95,0,0.41192
Transit,0.0406,4.55,,,0,89.95,0,0.413
Transit,,18.086,,,,,0,0.415
Transit,,9.931,,,,,0,0.41593
Transit,0.6856,6.86,,,0,89.95,0,0.41757
Transit,0.6856,6.86,,,0,89.95,0,0.41757
Transit,,6.496,,,,,0,0.41757
Transit,,4.862,,,,,0,0.418
Transit,0.811,5.4,,,0,89.95,0,0.419
Transit,0.811,5.4,,,0,89.95,0,0.41967
Transit,,14.61,,,,,0,0.41967
Transit,0.3532,7.54,,,0,89.38,1,0.421127
Transit,0.3532,7.54,,,0,89.38,1,0.421472
Transit,0.3532,7.54,,,0,89.38,1,0.42199
Transit,0.0535,5.69,,,0,89.95,0,0.42199
Transit,0.0535,5.69,,,0,89.95,0,0.422
Transit,0.0535,5.69,,,0,89.95,0,0.42324
Transit,0.1241,9.11,,,0,89.8,0,0.42324
Transit,0.1087,8,,,0,87.66,0,0.42324
Transit,0.1087,8,,,0,87.66,0,0.42475
Transit,0.1087,8,,,0,87.66,0,0.42475
Transit,0.0451,9.528,47.03884,0.318,0,83.88,0,0.42475
Transit,0.126,9.6,,,0,87.09,0,0.42532
Transit,0.0854,11.153,203.41018,0.8,0.174,88.84,0,0.42538
Transit,,1.201,,,,,0,0.42538
Transit,,5.69,,,,,0,0.42538
Transit,0.0549,12.801,1538.2972,4.02,0.086,88.7,0,0.426
Transit,0.03708,14.24,491.3763,0.96,0,81.6,0,0.4264
Transit,0.4494,4.67,,,0,89.95,0,0.4273
Transit,0.4494,4.67,,,0,89.95,0,0.427506
Transit,0.4494,4.67,,,0,89.95,0,0.4291
Transit,0.355,7.7,,,0,89.38,1,0.43
Transit,0.053,4.82,,,0,89.82,0,0.43
Transit,0.052,4.68,,,0,89.95,0,0.4303
Transit,0.1241,9.19,,,0,89.95,0,0.4303
Transit,0.1241,9.19,,,0,89.95,0,0.4303
Transit,0.1241,9.19,,,0,89.95,0,0.4311
Transit,0.053,4.84,,,0,89.95,0,0.43158
Transit,0.053,4.84,,,0,89.95,0,0.4323
Transit,0.053,4.84,,,0,89.95,0,0.43319
Transit,0.0129,5.32,,,0,66.46,0,0.43319
Transit,0.0129,5.32,,,0,66.46,0,0.43319
Transit,0.0129,5.32,,,0,66.46,0,0.43421
Transit,,7.6,,,,,0,0.43421
Transit,,1.78,,,,,0,0.43421
Transit,,8.24,,,,,1,0.43478
Transit,0.8748,11.67,,,0,89.99,0,0.43478
Transit,0.05694,11.135,6747.5309,,0.008,86.1,0,0.43478
Transit,,5.59,,,,,1,0.436
Transit,0.0461,11.43,772.29,2.82,0,88.34,0,0.437
Transit,0.0694,11.994,2688.8418,8.54,0.3775,84.01,0,0.4372
Transit,,13.227,441.7837,,0,84.2,0,0.43769
Transit,0.471,5.2,,,0,89.95,0,0.4398
Transit,0.04619,16.37,712.545,0.94,0,84.9,0,0.44
Transit,,14.585,,,,,0,0.44
Transit,0.363,9.3,,,0,89.95,1,0.44
Transit,0.0681,14.617,178.30263,0.33,0,87.9,0,0.44
Transit,,13.53,,,,,0,0.4414
Transit,,11.794,,,,,0,0.443
Transit,,1.354,,,,,0,0.443161
Transit,0.371,11.65,,,0,89.99,1,0.4439
Transit,0.0673,12.812,791.3967,2.2,,89.01,0,0.446
Transit,0.0975,26.52,,,0,87.73,0,0.446444
Transit,,8.611,,,,,0,0.448818
Transit,0.086,8,,,0,87.09,0,0.448991
Transit,0.7655,9.17,,,0,89.99,0,0.44912
Transit,,2.225,,,,,0,0.45092
Transit,0.0538,15.468,174.8065,0.28,0,88.1,0,0.45102
Transit,0.7455,9.33,,,0,89.95,0,0.451516
Transit,0.7455,9.33,,,0,89.95,0,0.4516
Transit,0.7455,9.33,,,0,89.95,0,0.45234
Transit,,14.694,,,,,0,0.452494
Transit,,18.251,,,,,0,0.453
Transit,0.0811,7.47,,,0,87.66,0,0.45354
Transit,0.0811,7.47,,,0,87.66,0,0.45354
Transit,0.0811,7.47,,,0,87.66,0,0.45354
Transit,0.3608,30.64,,,0,88.81,1,0.456102
Transit,0.3608,30.64,,,0,88.81,1,0.458
Transit,0.3608,30.64,,,0,88.81,1,0.45849
Transit,0.0386,21.42,,,0,82.71,1,0.45849
Transit,0.0129,22.95,,,0,50.98,0,0.45849
Transit,0.0386,25.8,,,0,84.8,1,0.45879
Transit,0.0386,25.8,,,0,84.8,1,0.45879
Transit,0.0386,25.8,,,0,84.8,1,0.45879
Transit,,2.9,,,,,0,0.45906
Transit,0.04882,16.141,222.47988,0.28,,78.41,0,0.45959
Transit,0.038,23,,,0,85.37,1,0.45989
Transit,0.1916,5.17,,,0,89.98,0,0.45989
Transit,0.07229,11.781,953.49,3.1,,86.21,0,0.45989
Transit,0.035,20.5,,,,,1,0.4614
Transit,0.037,22.77,,,,,1,0.463
Transit,0.5874,8.19,,,0,90,0,0.4633
Transit,0.3751,6.31,,,0,89.97,0,0.46349
Transit,0.0665,13.08,,,0,89.63,0,0.464
Transit,,2.917,,,,,0,0.4644
Transit,0.04795,15.132,756.4354,1.19,0.085,82.7,0,0.4646
Transit,0.581,6.1,,,0,89.95,0,0.46536
Transit,0.06,8.1,,,0,84.8,0,0.46747
Transit,,8,18.75188,,0.16,88.6,1,0.46765
Transit,,11.337,,,,,0,0.468798
Transit,,11.64,,,,,0,0.47
Transit,,10.45,,,,,0,0.4721
Transit,,6.45,,,,,0,0.4728
Transit,0.1916,5.26,,,0,89.95,0,0.475
Transit,0.1916,5.26,,,0,89.95,0,0.47627
Transit,0.1916,5.26,,,0,89.95,0,0.477
Transit,,11.543,,,,,0,0.4774
Transit,0.371,6.1,,,0,89.38,0,0.479
Transit,0.455,6.2,,,0,89.38,1,0.47901
Transit,0.4572,12.28,,,0,89.47,1,0.47901
Transit,0.1436,9.718,77.55052,0.464,0.032,89.68,0,0.47901
Transit,0.3629,5.56,,,0,89.95,0,0.480416
Transit,0.3629,5.56,,,0,89.95,0,0.4834
Transit,0.3629,5.56,,,0,89.95,0,0.4848
Transit,,5.893,,,,,0,0.485
Transit,0.194,7.34,,,0,88.24,1,0.4867
Transit,,10.497,,,,,0,0.48748
Transit,,11.076,,,,,0,0.48748
Transit,0.1158,5.76,,,0,89.92,0,0.48748
Transit,0.1288,3.65,15.4,1.74,0.087,89.73,0,0.488792
Transit,0.115,4.8,,,0,89.38,0,0.4889
Transit,0.0957,1.635,6.38,8.04,0.096,89.877,0,0.489
Transit,1.467,10.4,,,0,89.95,0,0.489185
Transit,0.055,9.079,1207.7,,,,0,0.49143
Transit,0.1687,10.22,,,0.112,89.35,0,0.492
Transit,,7.05,,,,,1,0.4922
Transit,,15.09,,,,,0,0.493
Transit,0.02925,0.92,0.692,4.9016,,89.793,1,0.4958
Transit,0.7655,10.31,,,0,89.6,0,0.5
Transit,0.5167,11.21,,,0,89.84,0,0.5
Transit,0.4756,6.01,,,0,89.58,1,0.5004
Transit,,14.067,,,,,0,0.501157
Transit,,8.86,71,0.56,0,89.441,1,0.5012
Transit,0.024,1.96,,,0,88.24,0,0.50229
Transit,0.4589,9.51,,,0,89.38,1,0.50329
Transit,0.4589,9.51,,,0,89.38,1,0.50381
Transit,0.4589,9.51,,,0,89.38,1,0.504
Transit,2.0091,10.81,,,0,89.95,0,0.5044
Transit,2.0091,10.81,,,0,89.95,0,0.5045
Transit,0.5733,6.15,,,0,89.95,0,0.50528
Transit,0.5733,6.15,,,0,89.95,0,0.50528
Transit,0.5733,6.15,,,0,89.95,0,0.50528
Transit,,15.255,,,,,0,0.506
Transit,0.1898,6.5,,,0,88.62,1,0.506
Transit,,10.799,,,,,0,0.5069
Transit,2.026,9.18,158.915,1.2,0.26,89.982,0,0.5069
Transit,0.5,6.7,,,0,89.95,0,0.5069
Transit,0.06,7.93,,,0,89.95,0,0.507376
Transit,0.06,7.93,,,0,89.95,0,0.50738
Transit,0.06,7.93,,,0,89.95,0,0.509
Transit,0.5183,7.7,,,0,89.7,0,0.5096
Transit,0.045,5.5,,,0,89.95,0,0.5099
Transit,0.02817,0.918,0.62,4.4,0.085,89.86,1,0.51061
Transit,0.0224,1.41,,,0,87.66,0,0.51061
Transit,0.0224,1.41,,,0,87.66,0,0.51061
Transit,0.0224,1.41,,,0,87.66,0,0.51287
Transit,0.516,7,,,0,89.38,0,0.5149
Transit,,13.451,3632.7969,,0.52,86.72,0,0.519
Transit,,15.132,540.311,,0,88.6,0,0.5191
Transit,0.05496,14.415,483.717,,0,88.6,0,0.5191
Transit,,17.656,,,,,0,0.5191
Transit,0.0455,6.02,,,0,86.7,0,0.5192
Transit,0.133,6.1,,,0,88.81,0,0.52
Transit,,12.704,,,,,0,0.52
Transit,,1.76,,,,90,0,0.521
Transit,,11.054,,,,,0,0.52157
Transit,0.5307,7.54,,,0,89.38,0,0.52265
Transit,0.5307,7.54,,,0,89.38,0,0.5243
Transit,0.5307,7.54,,,0,89.38,0,0.527236
Transit,,6.11,,,,,0,0.5276
Transit,0.1165,5.27,,,0,89.95,0,0.528371
Transit,0.1165,5.27,,,0,89.95,0,0.52949
Transit,0.1165,5.27,,,0,89.95,0,0.52949
Transit,0.041,7.1,,,0,87.66,0,0.52949
Transit,,12.72,,,,,0,0.529857
Transit,0.1353,6.24,,,0,89.61,0,0.53171
Transit,,13.274,,,,,0,0.53171
Transit,0.2918,7.02,,,0,89.67,1,0.53171
Transit,0.0559,5.04,,,0,89.38,0,0.535
Transit,0.0559,5.04,,,0,89.38,0,0.535724
Transit,0.0559,5.04,,,0,89.38,0,0.53681
Transit,0.7509,6.84,,,0,89.38,0,0.537
Transit,0.7509,6.84,,,0,89.38,0,0.53747
Transit,0.7509,6.84,,,0,89.38,0,0.5383
Transit,,4.939,,,,,0,0.5383
Transit,,7.062,22.2481,,0.12,88.6,0,0.5383
Transit,0.0479,6.333,18.751,0.4,0.124,88.6,0,0.53964
Transit,,13.071,,,,,0,0.53964
Transit,0.04823,14.123,209.13214,0.44,0,84.9,0,0.53964
Transit,0.279,6.5,,,0,89.95,1,0.54
Transit,0.5183,7.91,,,0,89.95,0,0.54
Transit,0.5183,7.91,,,0,89.95,0,0.543
Transit,0.5183,7.91,,,0,89.95,0,0.543303
Transit,,13.204,,,,,0,0.544
Transit,0.168,11.4,,,0,89.38,1,0.546
Transit,0.058,5.9,,,0,88.81,0,0.54637
Transit,,7.612,,,,,0,0.54637
Transit,,4.952,,,,,0,0.54637
Transit,,6.89,,,,,0,0.547973
Transit,,2.36,,,,,0,0.549
Transit,0.0626,15.648,753.2571,1.08,0.073,85.7,0,0.551
Transit,0.0559,5.1,,,0,89.78,0,0.551
Transit,0.0142,2.62,,,,87.84,0,0.55124
Transit,0.1291,12.173,1147.36055,3.5,0.298,86.24,0,0.5513
Transit,,4.61,,,,,0,0.553
Transit,0.0392,2.72,,,0,88.4,0,0.555
Transit,0.325,7.7,,,0,89.95,0,0.5569
Transit,0.488,6.31,,,0,89.38,1,0.557
Transit,0.1607,9.99,,,0,89.93,1,0.557
Transit,0.2918,7.04,,,0,89.95,1,0.558
Transit,0.2918,7.04,,,0,89.95,1,0.56
Transit,0.2918,7.04,,,0,89.95,1,0.5602
Transit,,14.585,,,,,0,0.5609
Transit,,17.569,,,,,0,0.56128
Transit,0.2776,10.6,,,0,89.91,1,0.56353
Transit,0.1596,9.77,,,0,89.95,1,0.56353
Transit,0.1596,9.77,,,0,89.95,1,0.56353
Transit,0.1596,9.77,,,0,89.95,1,0.565
Transit,0.138,7.19,,,0,89.95,0,0.566
Transit,0.138,7.19,,,0,89.95,0,0.56711
Transit,0.138,7.19,,,0,89.95,0,0.56752
Transit,0.1934,7.24,,,0,88.81,1,0.56752
Transit,0.1934,7.24,,,0,88.81,1,0.56752
Transit,0.1934,7.24,,,0,88.81,1,0.56764
Transit,0.4663,5.7,,,0,89.38,1,0.56764
Transit,0.4663,5.7,,,0,89.38,1,0.56764
Transit,0.4663,5.7,,,0,89.38,1,0.56793
Transit,,13.614,,,,,0,0.56793
Transit,0.06206,13.9,301.93,0.665,0,88.1,0,0.56793
Transit,,14.796,343.2564,,0,88.1,0,0.56809
Transit,,11.016,,,,,1,0.56809
Transit,0.284,8.75,,,0,89.38,1,0.56809
Transit,,16.475,,,,,0,0.568409
Transit,,13.48,,,,,0,0.57
Transit,,10.15,,,,,0,0.57
Transit,0.0456,6.27,,,0,87.09,0,0.570026
Transit,0.0456,6.27,,,0,87.09,0,0.5723
Transit,0.0456,6.27,,,0,87.09,0,0.572932
Transit,,16.657,,,,,0,0.573
Transit,0.0618,10.256,305.1168,1.67,0,89.6,0,0.574
Transit,0.046,16.701,991.62463,1.17,0.0022,80.13,0,0.5753
Transit,,11.994,397.2875,,0,89.6,0,0.5753
Transit,,4.256,,,,,0,0.5753
Transit,0.2944,8.76,,,0,89.68,0,0.576722
Transit,,14.225,,,,,0,0.579
Transit,0.282,7.4,,,0,89.95,0,0.5797
Transit,0.2858,9.16,,,0,89.95,1,0.58
Transit,0.2858,9.16,,,0,89.95,1,0.58019
Transit,0.2858,9.16,,,0,89.95,1,0.58058
Transit,0.3091,5.76,,,0,89.96,0,0.581
Transit,,11.355,,,,,0,0.5814
Transit,0.06708,19.952,301.9385,0.209,0,84.47,0,0.58902
Transit,0.0437,9.06,,,0,85.26,0,0.58902
Transit,0.0531,9.64,163.358,1.1,0,87.9,0,0.58902
Transit,,9.864,174.8065,,0,87.9,0,0.59043
Transit,0.03,12.666,3082.82,,,,0,0.5936
Transit,,14.572,165.2716,,0.22,88.81,0,0.596
Transit,,16.926,584.8072,,0,83.11,0,0.59765
Transit,,13.848,,,,,0,0.6
Transit,0.07939,13.372,136.661,0.311,0.22,88.81,0,0.6
Transit,0.229,8.22,,,0,89.38,1,0.6
Transit,0.104,7.1,,,0,88.24,0,0.6
Transit,0.0781,4.04,,,0,88.83,0,0.6
Transit,0.252,7.3,,,0,89.95,1,0.60032
Transit,0.02466,12.442,8654.15,24.7,0.0099,87.8,0,0.602
Transit,0.0574,16.029,120.77,0.173,0.22,87.8,0,0.6034
Transit,0.06,12.442,1341.2426,3.821,0.33,,0,0.6053
Transit,,15.805,117.5971,,0,87.8,0,0.6057
Transit,0.1058,7.4,,,0,88.17,0,0.6079
Transit,,2.726,,,,,0,0.6086
Transit,0.2948,9.04,,,0,89.95,0,0.609
Transit,0.2948,9.04,,,0,89.95,0,0.61
Transit,0.2948,9.04,,,0,89.95,0,0.61
Transit,,2.709,,,,,0,0.61056
Transit,,4.835,,,,,0,0.612968
Transit,,7.096,,,,,0,0.61303
Transit,,11.427,,,,,0,0.61303
Transit,,1.98,,,,,0,0.61303
Transit,,6.593,,,,,1,0.613039
Transit,0.05,6.4,,,0,85.37,0,0.613585
Transit,0.0493,7.45,,,0,87.09,0,0.613741
Transit,0.2273,7.98,,,0,89.38,1,0.614
Transit,0.2273,7.98,,,0,89.38,1,0.615
Transit,,17.936,,,,,0,0.61504
Transit,,5.916,,,,,0,0.6152
Transit,,14.369,,,,,0,0.61549
Transit,0.0663,12.89,317.83,,0,87.1,0,0.61591
Transit,0.0419,9.13,,,0,85.37,0,0.61591
Transit,0.0419,9.13,,,0,85.37,0,0.616921
Transit,0.0419,9.13,,,0,85.37,0,0.617839
Transit,0.2528,7.65,,,0,89.94,1,0.619
Transit,0.01875,1.32,13.2,,,89.67,0,0.62
Transit,0.0494,2.54,,,,,0,0.62064
Transit,,5.4,,,,,0,0.62064
Transit,0.0447,18.719,394.1092,0.354,0,87.9,0,0.62064
Transit,,3.71,,,,,0,0.62087
Transit,0.3114,6.21,,,0,89.95,0,0.6238
Transit,0.3114,6.21,,,0,89.95,0,0.624
Transit,0.3114,6.21,,,0,89.95,0,0.624
Transit,,7,,,,,0,0.624
Transit,,10.173,,,,,0,0.627453
Transit,0.0517,11.994,886.7457,3.1,0,87.7,0,0.62794
Transit,,17.822,699.226,,0,86.2,0,0.62794
Transit,,18.159,371.8611,,0,87.9,0,0.62794
Transit,0.0362,19.055,282.857,0.24,0,83.2,0,0.629
Transit,0.0448,19.17,397.27,0.33,0,86.6,0,0.629
Transit,,13.493,,,,,0,0.63
Transit,,16.6,,,,,0,0.63
Transit,,10.901,,,,,0,0.63
Transit,0.08,9.4,,,0,89.95,0,0.63
Transit,0.0762,8.99,,,0,89.78,0,0.63
Transit,0.06,9,,,0,89.95,0,0.631275
Transit,,4.37,,,,,0,0.6314
Transit,,11.433,514.8846,,0,89.49,0,0.632
Transit,0.0549,12.498,87.40325,0.263,0,87.9,0,0.633
Transit,,15.132,2227.9883,,0.44,87.1,0,0.63312
Transit,0.0535,16.87,271.74465,0.31,0,86.7,0,0.6361
Transit,,11.211,,,,,0,0.638
Transit,,14.281,,,,,0,0.64
Transit,,1.6,,,,,0,0.64
Transit,0.0917,12.162,611.797,1.86,0,89.49,0,0.64
Transit,0.0487,16.81,483.08,0.568,0,87.5,0,0.64
Transit,,15.65,,,,,0,0.641
Transit,,10.86,,,,,0,0.641
Transit,0.0301,1.56,,,0,87.88,0,0.642
Transit,0.03849,1.045,1.039,5.0229,,89.74,1,0.642
Transit,0.0606,12.89,709.367,1.82,0.107,83.5,0,0.6427
Transit,,13.889,,,,,0,0.644
Transit,0.05356,14.94,,,,89.86,0,0.645
Transit,,15.264,,,,,0,0.6462
Transit,0.055,11.99,689.98,2.18,0.245,87.1,0,0.6465
Transit,,12.218,721.4741,,0.25,87.1,0,0.648
Transit,,15.917,1093.3352,,0.11,83.5,0,0.648973
Transit,,17.038,152.5584,,0,88.3,0,0.649
Transit,,21.633,352.7913,,0,83.2,0,0.649248
Transit,,8.207,,,,,0,0.65
Transit,0.063,6.39,69.92,1.6,0,88.4,0,0.65
Transit,,1.742,,,,,0,0.65
Transit,0.0626,10.63,,,0,89.58,0,0.65
Transit,,13.941,,,,,0,0.65
Transit,0.0514,16.511,1541.4755,2,0.057,82.54,0,0.650188
Transit,,13.377,,,,,0,0.651
Transit,,1.844,,,,,0,0.653071
Transit,0.1058,7.66,,,0,88.24,0,0.6536
Transit,0.1058,7.66,,,0,88.24,0,0.655
Transit,0.1058,7.66,,,0,88.24,0,0.655
Transit,0.0486,11.882,2011.8639,6.58,0.072,88.41,0,0.655844
Transit,,17.116,,,,,0,0.656049
Transit,,12.138,,,,,0,0.65637
Transit,0.2528,7.88,,,0,89.95,1,0.65637
Transit,0.2528,7.88,,,0,89.95,1,0.65637
Transit,0.2528,7.88,,,0,89.95,1,0.657
Transit,,8.96,,,,,0,0.658
Transit,0.0192,2.56,,,0,87.3,0,0.658748
Transit,,5.16,,,,,0,0.65905
Transit,,7.46,,,,,1,0.65905
Transit,,12.534,,,,,0,0.65905
Transit,0.0607,13.675,85.8141,0.2,0,85,0,0.661321
Transit,,14.261,,,,,0,0.664
Transit,,18.065,,,,,0,0.665
Transit,0.01791,15.098,1595.4986,,,70.74,0,0.665
Transit,,18.37,,,,,0,0.665
Transit,,17.38,,,,,0,0.665
Transit,0.03984,1.367,25.3,,,89.287,0,0.665
Transit,0.1423,7.74,,,0,89.74,1,0.665
Transit,,16.708,,,,,0,0.6651
Transit,,6.67,,,,,1,0.665169
Transit,0.0376,16.1,,,0,87.21,0,0.6658
Transit,0.0545,15.625,165.2716,0.256,0,88.24,0,0.6659
Transit,0.0546,15.581,737.335,1.144,0.11,85.9,0,0.66605
Transit,0.0546,15.581,737.3656,,0,85.9,0,0.66688
Transit,0.0762,9.23,,,0,89.95,0,0.6673
Transit,0.0762,9.23,,,0,89.95,0,0.66747
Transit,0.0762,9.23,,,0,89.95,0,0.6679
Transit,0.0381,16.39,,,0,89.95,0,0.668
Transit,0.0381,16.39,,,0,89.95,0,0.668
Transit,0.0381,16.39,,,0,89.95,0,0.66815
Transit,,15.693,746.9005,,0,85.9,0,0.66815
Transit,,17.57,,,,,0,0.66815
Transit,0.039,22.3,,,0,88.24,0,0.66906
Transit,0.01522,1.049,,,0,89.5,1,0.66906
Transit,0.0419,2.2,,,,89.37,0,0.66906
Transit,0.143,8.28,,,0,89.38,1,0.67
Transit,0.0371,1.045,0.68,3.3,0.063,89.68,1,0.670547
Transit,,12.542,,,,,0,0.6713
Transit,,1.52,,,,,0,0.672
Transit,,1.76,,,,,0,0.672
Transit,,12.124,,,,,0,0.6727
Transit,,13.424,,,,,0,0.673
Transit,0.03462,21.196,915.3504,0.53,0,86.79,0,0.674001
Transit,0.0629,10.53,,,0,89.95,0,0.675
Transit,0.0629,10.53,,,0,89.95,0,0.677
Transit,0.0629,10.53,,,0,89.95,0,0.677
Transit,0.081,8.2,,,0,89.95,0,0.677
Transit,0.0494,12.218,387.7526,1.2,,88.5,0,0.677
Transit,0.04,7.1,,,0,88.24,0,0.67886
Transit,,8.58,,,,,0,0.67886
Transit,0.01521,1.056,1.38,6.45,0.083,89.67,1,0.67886
Transit,,19.93,,,,,0,0.6829
Transit,0.0758,12.218,861.3193,,0.028,89.5,0,0.683
Transit,,13.787,1093.3352,,0.03,89.5,0,0.6855
Transit,0.0627,14.908,181.1631,0.32,0,86.9,0,0.686232
Transit,0.0832,8.95,,,0,89.93,0,0.687
Transit,0.0556,6.96,,,0,87.87,0,0.689511
Transit,0.032,15.278,564.442,,0.039,80.8,0,0.69
Transit,0.1423,7.96,,,0,89.38,1,0.69
Transit,0.1423,7.96,,,0,89.38,1,0.69
Transit,0.1423,7.96,,,0,89.38,1,0.69111
Transit,0.057,7.4,,,0,87.66,0,0.69323
Transit,,10.435,,,,,1,0.696
Transit,,9.264,,,,,0,0.69668
Transit,0.0442,12.4,,,0,86.55,0,0.69668
Transit,0.05064,16.04,671.864,0.894,0.024,86.3,0,0.69668
Transit,,16.365,133.4886,,0,88,0,0.6973
Transit,0.06431,19.055,177.98,0.146,0,88,0,0.698509
Transit,0.05009,14.37,502.16888,0.93,0,83.58,0,0.698592
Transit,,14.287,,,,,0,0.69982
Transit,,12.803,,,,,0,0.7
Transit,,1.92,,,,,0,0.7
Transit,,17.479,,,,,0,0.7
Transit,,20.317,,,,,0,0.7011
