discoverymethod,semimajoraxis,radiuse,radiusj,masse,massj,eccentricity,inclination,ttv,depth
Transit,0.0281,16.421,1.465,1051.973,3.31,0,87.84,1,2.77889
Transit,,,,,,,,1,
Transit,,,,,,,,1,
Transit,,15.85,1.414,1052.0173,3.31,0,88.07,1,
Transit,0.0281,16.432,1.466,1048.839,3.3,0.024,88.08,1,
Transit,0.02854,16.477,1.47,1150.5446,3.62,,87.45,1,
Transit,0.02798,16.432,1.466,1102.82,3.47,0.0143,88.08,1,2.75
Transit,,16.533,1.475,,,,88.27,1,
Transit,0.0892,13.002,1.16,1608.2198,5.06,,83.5,0,
Transit,0.0902,9.42,0.84,1347.54,4.24,0.562,88.21,0,
Transit,0.0891,11.209,1,1315.8162,4.14,,85.9,0,
Transit,0.0901,9.416,0.84,1344.4209,4.23,0.575,88.21,0,
Transit,,15.397,1.374,,,,,0,1.087998
Transit,0.09,,,1366.669,4.3,0.59,88.21,0,
Radial Velocity,2.9,,,,,0.6,,0,
Transit,0.0416,14.572,1.3,705.5826,2.22,0.39,86.8,0,
Transit,0.0417,14.572,1.3,718.2958,2.26,0,86.8,0,
Transit,0.092,4.88,0.435,12.2,0.038,0.077,89.749,0,
Transit,0.04809,13.227,1.18,972.5598,3.06,,84.7,0,
Transit,0.0484,11.769,1.05,982.0947,3.09,0.16,85.7,0,
Transit,0.048,11.77,1.05,889.9,2.8,0.16,85.7,0,
Transit,0.056,3.7,0.33,5.7,0.018,0,86.5,0,
Transit,0.098,5,0.44,28,0.088,0,89,0,
Transit,0.05789,12.106,1.08,93.12419,0.293,0.22,84.5,0,
Transit,0.0578,12.11,1.08,85.81,0.27,0,84.5,0,
Transit,0.0526,14.12,1.26,165.26,0.52,0,86.8,0,
Transit,0.0525,14.123,1.26,184.3414,0.58,0.41,86.8,0,
Transit,0.0467,11.287,1.007,3273.649,10.3,0.034,86.7,0,
Transit,0.0476,11.287,1.007,3302.11,10.39,0.065,86.7,0,
Transit,0.0603,10.705,0.955,153.82972,0.484,0.047,88.1,0,
Transit,0.059,10.705,0.955,152.87623,0.481,0.071,88.1,0,
Transit,0.0386,10.088,0.9,270.1555,0.85,0.082,87.3,0,
Transit,0.039,10.088,0.9,266.9772,0.84,0.12,87.3,0,
Transit,,,,,,,85.8,0,
Transit,0.0574,11.321,1.01,6814.2752,21.44,0.016,85.9,0,
Transit,,,,,,,,0,
Transit,0.05694,11.135,0.993,6747.5309,21.23,0.008,86.1,0,0.4398
Transit,0.05783,11.624,1.037,6979.5468,21.96,,85.8,0,
Transit,,11.32,1.01,6883.91,21.66,0,85.9,0,
Transit,0.0844,11.31,1.009,921.707,2.9,0.007,90,0,
Transit,0.0586,16.365,1.46,266.9772,0.84,0.02,83.2,0,
Transit,0.0429,18.831,1.68,349.61125,1.1,0,84.1,1,1.257
Transit,0.066,15.805,1.41,216.12332,0.68,0,85.83,0,1.01
Transit,0.09025,13.339,1.19,223.43449,0.703,0.14,90,0,
Transit,,13.437,1.199,,,,,0,1.381232
Transit,0.0912,13.002,1.16,232.33373,0.731,,89.96,0,
Transit,0.09,13.34,1.19,228.83,0.72,0,90,0,
Transit,0.0495,14.079,1.256,145.88397,0.459,,85.68,0,
Transit,,,,,,,,0,
Transit,0.04963,15.558,1.388,151.92274,0.478,0.087,85.83,0,
Transit,0.04947,15.558,1.388,148.42,0.467,0.09,85.83,0,1.461
Transit,,18.383,1.64,,,,,0,1.524271
Transit,0.05004,13.249,1.182,149.3801,0.47,,86.24,0,
Transit,,,,,,,,0,
Transit,0.0855,13.068,1.166,940.74,2.96,0.1,89.07,0,
Transit,0.0854,13.07,1.166,937.5985,2.95,0.18,89.07,0,
Transit,0.0855,13.283,1.185,940.7768,2.96,,88.88,0,
Transit,0.017,,,4.73,0.015,0.12,,0,
Transit,0.017,,,4.8,0.0151,0,80,0,
Transit,,1.681,0.15,4.07661,0.01283,0,80.1,0,0.035
Transit,,1.58,0.141,4.6,0.01447,,,0,
Transit,0.0172,1.68,0.15,21,0.066,,80.1,0,0.0335
Transit,0.017016,1.585,0.141,5.74,0.018,0,80.78,0,
Transit,,1.528,0.136,6.056,0.01905,,80.98,0,
Transit,0.0169,1.861,0.166,6.99226,0.022,,79.6,0,
Radial Velocity,,,,13.289,0.04181,,,0,
Radial Velocity,0.045,,,13.56,0.043,0.12,,0,
Radial Velocity,0.046,,,8.4,0.02643,0,80,0,
Radial Velocity,,,,17.142,0.05393,,,0,
Transit,0.0633,7.981,0.712,68.65128,0.216,,87.44,0,
Transit,0.0636,6.938,0.619,69.28694,0.218,,88.18,0,
Transit,0.06339,6.389,0.57,69.28694,0.218,0.19,88.4,0,
Transit,0.063,6.39,0.57,69.92,0.22,0,88.4,0,0.651
Transit,0.4029,11.949,1.066,268.88418,0.846,0.134,89.9,0,
Transit,0.407,11.77,1.05,266.97,0.84,0.11,89.99,0,1.55
Transit,,,,,,,,0,
Transit,0.4027,11.624,1.037,262.52758,0.826,,89.97,0,
Transit,0.4021,11.949,1.066,266.9772,0.84,0.133,89.9,0,
Transit,0.071,6.389,0.57,47.6745,0.15,,89,0,0.29
Transit,,,,,,,,0,
Eclipse Timing Variations,5.75,,,,,0,86,0,
Astrometry,0.36,,,9057.77,28.5,0.345,56.6,0,
Imaging,330,,,3496,11,,,0,
Imaging,,30.264,2.7,3496.13,11,,,0,
Radial Velocity,0.1462,,,,,0.083,,0,
Radial Velocity,0.0733,,,,,0.057,,0,
Radial Velocity,0.0422,,,,,0.07,,0,
Radial Velocity,0.0651,,,,,0.07,,0,
Radial Velocity,0.0664,,,,,0.078,,0,
Radial Velocity,0.0662,,,,,0.14,,0,
