#A [AU],M [earth mass]
2.540000,921.67000
0.540000,921.70700
1.650000,921.70700
9.020000,931.24190
2.340000,934.42020
0.820000,934.42020
1.280000,937.59850
2.630000,940.74000
0.297000,947.13340
2.600000,947.13340
1.130000,950.31170
3.200000,953.45000
2.100000,953.49000
2.000000,953.49000
0.660000,953.49000
2.430000,959.84660
0.590000,966.16000
1.370000,968.00000
1.080000,973.00000
2.198000,973.00000
2.780000,975.73810
2.180000,975.73810
0.650000,978.91640
1.250000,982.05000
2.187000,984.31951
1.310000,985.20000
5.500000,985.20000
4.170000,985.23000
1.372000,985.27300
2.000000,991.58800
0.150000,991.59000
4.511000,1001.12000
4.740000,1001.16450
0.160700,1004.34280
3.870000,1010.69940
2.510000,1010.69940
0.740000,1010.69940
1.070000,1010.69940
3.740000,1013.87770
3.471000,1015.10600
0.680000,1017.00000
0.700000,1017.00000
3.467000,1018.32732
1.760000,1020.19000
0.161400,1023.37000
1.370000,1026.59090
18.000000,1026.59090
0.162780,1028.18005
1.745000,1029.73000
11.550000,1032.94750
0.163700,1036.76146
1.780000,1048.79000
4.770000,1048.80000
4.100000,1052.01730
0.950000,1061.55220
3.814000,1069.77100
0.490000,1071.04000
0.070000,1074.26540
5.600000,1080.60000
1.820000,1080.62200
1.414000,1086.97860
2.430000,1093.29000
3.330000,1096.51350
3.070000,1099.69180
0.130000,1102.82000
1.980000,1106.04840
3.520000,1110.00000
2.000000,1112.40000
1.200000,1112.40500
5.470000,1121.89000
5.420000,1121.89000
1.130000,1121.90000
1.988000,1122.57556
3.040000,1128.25000
4.350000,1134.61000
0.960000,1137.83140
2.720000,1144.18800
3.584000,1150.54460
1.486000,1155.26300
1.510000,1166.39000
0.138000,1166.39000
10.500000,1166.43610
0.138800,1172.70000
1.520000,1172.74000
1.160000,1172.79270
0.138800,1175.92000
0.950000,1179.14930
2.390000,1179.14930
1.980000,1185.50590
5.150000,1188.68420
0.389000,1195.04080
0.970000,1195.04080
2.220000,1200.00000
0.971000,1201.39740
1.740000,1204.25787
1.780000,1204.57570
1.525000,1214.10000
0.855000,1217.20000
5.770000,1218.82700
5.840000,1220.42000
0.069200,1220.46720
4.750000,1223.64550
5.446000,1226.77000
4.920000,1226.82380
0.046200,1229.95000
3.180000,1230.00210
5.503000,1232.49300
1.190000,1233.13000
2.960000,1233.13000
0.069200,1233.18040
0.069600,1239.53700
0.113000,1242.66000
0.069200,1242.66000
0.447000,1242.71530
5.257000,1243.35096
1.149000,1249.07190
0.449000,1252.20000
2.570000,1255.38000
2.510000,1255.38000
1.490000,1255.42850
0.140000,1264.96340
1.752000,1271.30000
1.120000,1271.32000
1.400000,1271.32000
2.170000,1274.40000
4.920000,1274.44000
0.846000,1274.44000
3.600000,1283.98000
0.114000,1284.03320
3.082000,1287.16000
5.900000,1287.21150
4.637000,1303.05000
0.460000,1303.05000
3.900000,1303.10300
0.456400,1307.55262
0.456500,1308.18828
0.048100,1312.58000
2.530000,1312.63790
2.513290,1313.22000
1.300000,1334.88600
2.708000,1338.01000
3.167000,1360.00000
0.049000,1373.02560
2.100000,1398.00000
2.500000,1398.45200
0.110000,1404.80860
2.930000,1411.16520
6.190000,1423.87840
4.300000,1430.20000
2.030000,1430.23500
5.220000,1430.23500
1.820000,1433.41330
6.074000,1434.30600
2.730000,1440.66300
2.170000,1455.66140
5.200000,1462.01800
2.770000,1474.67000
2.930000,1481.08780
0.850000,1484.26610
0.590000,1503.33590
2.800000,1506.45000
2.480000,1506.45000
2.148000,1516.04910
0.830000,1525.50000
2.900000,1535.11890
3.860000,1540.00000
2.820000,1554.12000
2.200000,1557.30000
1.820000,1557.30100
1.800000,1570.00000
0.510000,1570.08020
2.353000,1574.46400
1.820000,1576.43680
2.864000,1581.13800
1.280000,1592.26000
3.030000,1600.00000
0.600000,1600.00000
1.340000,1620.90000
2.120000,1620.93300
2.030000,1630.40000
0.522000,1633.64620
6.150000,1640.00280
2.410000,1640.00280
1.160000,1655.82000
0.580000,1671.70000
1.350000,1681.25000
2.500000,1684.40000
6.800000,1684.40000
1.900000,1684.40000
0.600000,1706.74710
1.980000,1709.92540
0.210000,1716.28200
5.448000,1721.04945
6.460000,1722.63860
0.228000,1732.17350
2.800000,1748.06500
2.600000,1760.77820
